caseId,tags_pipe_separated,rationale
G7-001,SEMANTICS_SUFFICIENT,"価格推移・pivot列・Direction/Structure/Phaseの表示は整合的。causal pivotの確定時刻もchecktime(10:45)以前で因果性違反なし。"
G7-002,BOUNDARY_OR_TOLERANCE_SUSPECTED,"Direction=DEFINED(DOWN)だが、直近区間(昼休み明け)は442→449と明確な上昇脚であり、直近HIGH pivotで終端している。セッション全体では下落だが直近足だけ見るとDOWN判定は境界的。"
G7-003,STATUS_SEMANTICS_PROBLEM|OBSERVATION_OR_PROVENANCE_PROBLEM,"前場(~4650-4700)と後場(~4470から4260台へ急落)の間にScale=9に対して極端に大きい不連続ギャップがあり観測の連続性に疑義。さらにDirection=DEFINED(UP)は後場の明確な下落トレンド(checkpoint直前まで続く)と矛盾。"
G7-004,SEMANTICS_SUFFICIENT,"前半急落後、直近pivot(LOW@1210付近)からcheckpointまで明確な回復上昇がありDirection=UPと整合。Structure=INSUFFICIENT(pivotN=3)もReasonCodesと整合。"
G7-005,SEMANTICS_SUFFICIENT,"極端に疎なデータでObservation=UNAVAILABLE、Scale=SCALE_INSUFFICIENT、Direction/Structure=NOT_EVALUATED、ReasonCodesが全て整合。latest5=0/5とx印5個も一致。"
G7-006,SEMANTICS_SUFFICIENT,"G7-005と同型の疎データケース。Observation/Scale/Direction/Structure/ReasonCodesの組み合わせに矛盾なし。"
G7-007,STATUS_SEMANTICS_PROBLEM,"Scale=PRICE_BASIS_UNVERIFIED、Structure=NOT_EVALUATED(pivotN=0)、causal pivotsも空であるにもかかわらずDirection=DEFINED(UP)が主張されており、方向判定の計算根拠が示されていない。"
G7-008,SEMANTICS_SUFFICIENT,"直近LOW pivot(@79)からcheckpointまでの回復(79→82)がDirection=UPと整合。Structure=DOWN_STRUCTURE、Phase=CORRECTION,RECOVERYの組み合わせも下落構造からの反発として妥当。"
G7-009,SEMANTICS_SUFFICIENT,"レンジ内で推移し直近は1406付近の高値から1383まで下落してcheckpoint、Direction=DOWN・Structure=RANGE_STRUCTURE・Phase=BALANCEと整合。"
G7-010,SEMANTICS_SUFFICIENT,"G7-005と同型の疎データ・欠測ケースで内部矛盾なし。"
G7-011,SEMANTICS_SUFFICIENT,"直近LOW(@564)からcheckpointまで明確な上昇(564→579)でDirection=UP、Phase=RECOVERYと整合。"
G7-012,OBSERVATION_OR_PROVENANCE_PROBLEM,"Checkpoint=10:45であるにもかかわらず、最後のcausal pivotが『HIGH e10:43/c10:48@1240』とcheckpoint後の10:48に確定した情報を含んでおり、因果性(未来情報の混入)違反の疑いが強い。同一値動きの別ケース(G7-030/G7-042)ではこのpivotが含まれていない。"
G7-013,STATUS_SEMANTICS_PROBLEM,"Scale=PREVIOUS_CONTEXT_UNAVAILABLE、Structure=NOT_EVALUATED、pivots空であるにもかかわらずDirection=DEFINED(UP)。しかも後場は1300付近から1230付近まで明確に下落しており、直近トレンドとも矛盾。"
G7-014,VOCABULARY_GAP_CANDIDATE,"同一の価格推移・pivot列(pivotN=4、同一4本のpivot)を持つG7-017ではStructureが『NOT_APPLICABLE』/ReasonCodes『NO_ACTIVE_STRUCTURE』であるのに対し、本ケースでは『DEFINED(NONE)』/ReasonCodes空となっており、同一状況に対する語彙が一貫していない。"
G7-015,SEMANTICS_SUFFICIENT,"終始一貫した下落トレンド(3500→3280台)でDirection=DOWNと整合。Structure=INSUFFICIENT(pivotN=3)もReasonCodesと整合。"
G7-016,SEMANTICS_SUFFICIENT,"直近もみ合いの中でDirection=DOWN・DOWN_STRUCTURE・PROGRESSIONが概ね整合。pivot確定時刻もcheckpoint以前。"
G7-017,VOCABULARY_GAP_CANDIDATE,"G7-014と同一の価格推移・pivot列だが、Structureラベルが異なる('NOT_APPLICABLE'/NO_ACTIVE_STRUCTURE vs 'DEFINED(NONE)')。同一状況に対する状態語彙の不整合(ペアケース)。"
G7-018,STATUS_SEMANTICS_PROBLEM,"G7-005と同型の疎データだが、Scaleが『SCALE_INSUFFICIENT = 123.456』という具体的な数値付きで表示されている。INSUFFICIENT(計算不能)ステータスに具体的な計算値が付随するのは自己矛盾。"
G7-019,STATUS_SEMANTICS_PROBLEM|VOCABULARY_GAP_CANDIDATE,"Direction=DEFINED(UNCHANGED)だが、チャートは105→89までの一貫した下落トレンドであり明確に矛盾。Structure=DEFINED(FORMING_UP)もpivotN=0・causal pivots空の状態で主張されており根拠不明。同一データのG7-022ではStructureが『INSUFFICIENT』となっており語彙も不一致。"
G7-020,SEMANTICS_SUFFICIENT,"後場3187付近から3223付近まで緩やかに上昇しDirection=UP・UP_STRUCTURE・PROGRESSIONと整合。"
G7-021,BOUNDARY_OR_TOLERANCE_SUSPECTED,"直近pivotがcheckpoint時刻ちょうどに確定したLOW(@939)であり、そこからの反発はごく短い(1-2本)上昇に留まる。Direction=UPの判定はこの小さな戻りに依拠しており境界的。"
G7-022,STATUS_SEMANTICS_PROBLEM|VOCABULARY_GAP_CANDIDATE,"G7-019と同一データ。Direction=DEFINED(UNCHANGED)が105→89の一貫した下落と矛盾する点は同様。加えてStructureが『INSUFFICIENT』となっており、同一pivotN=0状況でも異なるStructureラベル('FORMING_UP')を与えるG7-019と齟齬がある。"
G7-023,SEMANTICS_SUFFICIENT,"セッション全体では下落だが直近20分程度は1175-1183のレンジで方向感が乏しく、Direction=UNCHANGEDは直近の値動きとして妥当な範囲。"
G7-024,SEMANTICS_SUFFICIENT,"Observation=PARTIAL(3/2)、x印2個、Direction=NOT_EVALUATED、ReasonCodesが全て整合。"
G7-025,STATUS_SEMANTICS_PROBLEM,"Scale=SCALE_INSUFFICIENT、Structure=NOT_EVALUATED(pivotN=0)、causal pivots空であるにもかかわらずDirection=DEFINED(DOWN)が主張されており、結果的な方向は視覚的トレンドと一致するものの計算根拠が示されていない構造的矛盾がある。"
G7-026,STATUS_SEMANTICS_PROBLEM,"Direction=DEFINED(DOWN)だが後場は4260付近から4430付近まで明確な上昇トレンドであり直接矛盾。Scale=PREVIOUS_CONTEXT_UNAVAILABLE・Structure=NOT_EVALUATED・pivots空という点でも計算根拠が不明。"
G7-027,STATUS_SEMANTICS_PROBLEM,"Observation=COMPLETEと表示されているが、latest5 observed/missing=0/5および表示されたReasonCodes(OBS_CURRENT_BAR_NOT_OBSERVED等)は全て欠測を示しており直接矛盾。同条件下でDirection=DEFINED(UP)も主張されており整合性に欠ける。"
G7-028,SEMANTICS_SUFFICIENT,"直近pivot(HIGH@486)からcheckpointまでの押し目(486→479)はPhase=CORRECTIONとして妥当。Direction=UPは上位トレンドを指しているとみられ整合的。"
G7-029,SEMANTICS_SUFFICIENT,"Scaleは有効(=90)でpivotN=0はStructure評価には不足だが、後場の一貫した下落(8910→8630程度)とDirection=DOWNは整合。"
G7-030,SEMANTICS_SUFFICIENT,"1143→1240への明確な上昇にDirection=UP・UP_STRUCTURE・PROGRESSIONが整合。pivot確定時刻もcheckpoint以前で問題なし。"
G7-031,SEMANTICS_SUFFICIENT,"終日ほぼ一貫した下落(2497→2320付近)にDirection=DOWNが整合。"
G7-032,SEMANTICS_SUFFICIENT,"Observation=PARTIAL(4/1)、x印1個、Direction=NOT_EVALUATEDで整合。"
G7-033,SEMANTICS_SUFFICIENT,"Observation=PARTIAL(3/2)、x印2個、Direction=NOT_EVALUATEDで整合。"
G7-034,STATUS_SEMANTICS_PROBLEM,"Direction=DEFINED(UP)だが、チャートは750→678までの一貫した下落トレンドであり、checkpoint直前にも急落を伴っている。明確な視覚的矛盾。"
G7-035,STATUS_SEMANTICS_PROBLEM,"Structure=DEFINED(RANGE_STRUCTURE)・Phase=BALANCEだが、直近1時間は78→72までの明確な方向性を持つ崩れであり、レンジ/バランスというより単純なトレンド局面に見え、Structure/Phaseの表示と直近の値動きが整合しない。"
G7-036,SEMANTICS_SUFFICIENT,"全体・直近ともに下落基調(703→679付近)でDirection=DOWNと整合。"
