caseId,tags_pipe_separated,rationale
G7-001,SEMANTICS_SUFFICIENT,"観測はCOMPLETEでscale=10。直近LOW後の上向き局面と方向構造未確立のRESTRUCTURINGが表示された値動きと整合する。"
G7-002,SEMANTICS_SUFFICIENT,"観測はCOMPLETE。直近HIGH後は下向きで4 pivotsにも一方向の構造がなくDOWNとNONEの組合せに明確な矛盾はない。"
G7-003,SEMANTICS_SUFFICIENT,"大きな流れはDOWN_STRUCTUREのまま最終LOWから反発しておりDirection UPとCORRECTION/RECOVERYが両立している。"
G7-004,SEMANTICS_SUFFICIENT,"pivotN=3では明確な構造確定に不足しており最終LOWからの上向きとRESTRUCTURINGの表示も整合する。"
G7-005,OBSERVATION_OR_PROVENANCE_PROBLEM,"checkpoint直前のlatest5が0/5でcurrent barも未観測。UNAVAILABLEとして下流を評価しない処理自体は整合するが観測欠損が存在する。"
G7-006,OBSERVATION_OR_PROVENANCE_PROBLEM,"latest5が0/5でscheduled bar欠損も明示されている。現在状態を評価できる観測条件を満たしていない。"
G7-007,OBSERVATION_OR_PROVENANCE_PROBLEM,"現在のbarは揃っているがPRICE_BASIS_UNVERIFIEDが明示されておりscaleと下流Stateを信頼できるprovenanceがない。"
G7-008,SEMANTICS_SUFFICIENT,"確認済みpivotsは下降構造を示しつつ最終LOWから価格が戻っているためDOWN_STRUCTURE内のUPとCORRECTION/RECOVERYは整合する。"
G7-009,SEMANTICS_SUFFICIENT,"確認済みpivotsは下方向の構造を支持しcheckpoint付近は小幅推移。DOWN_STRUCTUREとBALANCEに明確な意味矛盾はない。"
G7-010,OBSERVATION_OR_PROVENANCE_PROBLEM,"latest5が0/5でcurrent barとscheduled barの欠損が明示されているため現在Stateを評価できる観測状態ではない。"
G7-011,SEMANTICS_SUFFICIENT,"高値は低下し安値はほぼ維持する収縮的なpivotsでRANGE_STRUCTUREが妥当。最終LOWからのUPとRECOVERYも整合する。"
G7-012,SEMANTICS_SUFFICIENT,"LOW1143からHIGH1235へ上昇し次のLOW1180も切り上がっている。UP_STRUCTUREとPROGRESSIONが表示経路に整合する。"
G7-013,OBSERVATION_OR_PROVENANCE_PROBLEM,"PREVIOUS_CONTEXT_UNAVAILABLEが明示されておりscale基盤となる過去contextが欠けるためstructureを評価できないprovenance問題がある。"
G7-014,VOCABULARY_GAP_CANDIDATE,"HIGH5670→5730の切上げとLOW5620→5500の切下げが同時に起きる拡大型の形で既存StructureがNONEとなっておりbroadening系の語彙候補に見える。"
