caseId,chartInspected,reviewerState,ambiguity,visualAssessment,dataQuality,notes
RBV1-001,YES,REBOUND,DATA_QUALITY,WEAK_REBOUND,DEGRADED,"Large prior down leg; only a small late recovery is visible; recent coverage 0.6."
RBV1-002,YES,REBOUND,DATA_QUALITY,CLEAR_REBOUND,DEGRADED,"Strong late upswing after the prior down leg, but still partial by the frozen prefix witness; recent coverage 0.6 and official open missing."
RBV1-003,YES,REBOUND,WEAK_SHAPE,WEAK_REBOUND,DEGRADED,"Current prefix remains dominated by decline; terminal recovery is visually very small relative to the prior leg."
RBV1-004,YES,REBOUND,DATA_QUALITY,WEAK_REBOUND,DEGRADED,"Choppy-to-down current prefix with only a small terminal recovery; stale latest anchor and recent coverage 0.4."
RBV1-005,YES,RISE,NONE,CLEAR_RISE,DEGRADED,"Visible late recovery is large enough to exceed the preceding down leg under the frozen prefix witness; official open missing."
RBV1-006,YES,REBOUND,DATA_QUALITY,AMBIGUOUS_SPIKE_RETRACE,DEGRADED,"Sparse recent window shows a sharp spike and retrace rather than a clean sustained rebound; recent coverage 0.2 and stale anchor."
RBV1-007,YES,RISE,CHOPPY_PATH,AMBIGUOUS_CHOPPY_RISE,OK,"Full-recovery magnitude under the frozen witness, but the full current prefix is choppy and ends below an earlier local high."
RBV1-008,YES,REBOUND,DATA_QUALITY,AMBIGUOUS_REVERSAL,DEGRADED,"Current prefix rises then falls back materially; the terminal positive window is difficult to interpret visually because coverage is 0.2 and stale."
RBV1-009,YES,REBOUND,WEAK_SHAPE,WEAK_REBOUND,OK,"Large down move dominates the current prefix; positive recent move is visible only as a small rebound near the low."
RBV1-010,YES,RISE,NONE,CLEAR_RISE,OK,"Clear late upside recovery from the low; frozen prefix witness shows recovery larger than the prior down leg."
RBV1-011,YES,REBOUND,WEAK_SHAPE,WEAK_REBOUND,DEGRADED,"Downward current prefix followed by a small choppy lift; official open missing."
RBV1-012,YES,REBOUND,DATA_QUALITY,CLEAR_REBOUND,DEGRADED,"Meaningful late recovery after a preceding decline, but still partial under the frozen witness; official open missing."
RBV1-013,YES,RISE,BOUNDARY_FLOAT,BOUNDARY_AMBIGUOUS,DEGRADED,"Recovery ratio is effectively 1.0 and differs from equality only at floating-point scale; sparse/stale recent window."
RBV1-014,YES,REBOUND,BOUNDARY_FLOAT,BOUNDARY_AMBIGUOUS,DEGRADED,"Recovery ratio is effectively 1.0 but falls infinitesimally below the exact boundary; recent coverage 0.5."
RBV1-015,YES,RISE,SMALL_PRIOR_MOVE,AMBIGUOUS_CHOPPY_RISE,DEGRADED,"Recent rise exceeds a very small prior down leg, so ratio is large; overall current prefix remains choppy and official open is missing."
RBV1-016,YES,REBOUND,DATA_QUALITY,CLEAR_REBOUND,DEGRADED,"Visible decline followed by a substantial but incomplete recovery; official open missing."
RBV1-017,YES,REBOUND,WEAK_SHAPE,WEAK_REBOUND,OK,"Large prior down leg with only a small positive terminal rebound."
RBV1-018,YES,REBOUND,DATA_QUALITY,WEAK_REBOUND,DEGRADED,"Large downside move dominates; only a small terminal bounce is visible, with recent coverage 0.7 and stale anchor."
RBV1-019,YES,RISE,SMALL_PRIOR_MOVE,AMBIGUOUS_CHOPPY_RISE,DEGRADED,"Recent rise exceeds a small prior down leg, but the full prefix is dominated by a broader decline and recent coverage is only 0.2."
RBV1-020,YES,REBOUND,WEAK_SHAPE,WEAK_REBOUND,DEGRADED,"Strong earlier decline followed by a modest low-level recovery; official open missing."
RBV1-021,YES,REBOUND,WEAK_SHAPE,WEAK_REBOUND,OK,"Late selloff followed by a relatively small positive recovery near the low."
RBV1-022,YES,REBOUND,DATA_QUALITY,AMBIGUOUS_REBOUND,DEGRADED,"Prefix contains a prior upswing and late drop; recent positive window is partial but visually mixed, recent coverage 0.7."
RBV1-023,YES,RISE,SMALL_PRIOR_MOVE,AMBIGUOUS_SPIKE_RISE,DEGRADED,"Large ratio is driven by a very small prior down leg; chart contains a sharp spike/retrace and recent coverage 0.5."
RBV1-024,YES,REBOUND,WEAK_SHAPE,WEAK_REBOUND,DEGRADED,"Current prefix is dominated by a long decline; terminal rebound is very small relative to the prior move; official open missing."
